VEHICLE_BREADCRUMB_ID,VEHICLE_NUMBER,EQUIPMENT_CLASS,ARRIVE_DATETIME,SERVICE_DATE,ARRIVE_TIME,LONGITUDE,LATITUDE,DWELL,DISTANCE,SPEED,SATELLITES,HDOP,OCCURRENCES,VALID_FLAG,LAST_USER,LAST_TIMESTAMP
4313659830,3411,B,29OCT2021:07:18:55,29OCT2021:00:00:00,26335,-122.790218,45.526218,0,124826.12,33,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659831,3411,B,29OCT2021:07:19:00,29OCT2021:00:00:00,26340,-122.789265,45.526112,0,125068.9,33,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659832,3411,B,29OCT2021:07:19:05,29OCT2021:00:00:00,26345,-122.788417,45.526012,0,125288.72,30,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659833,3411,B,29OCT2021:07:19:10,29OCT2021:00:00:00,26350,-122.787797,45.525933,0,125446.2,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659834,3411,B,29OCT2021:07:19:15,29OCT2021:00:00:00,26355,-122.787373,45.525878,0,125557.75,15,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659835,3411,B,29OCT2021:07:19:19,29OCT2021:00:00:00,26359,-122.787292,45.525868,6,125577.43,3,12,0.7,4,Y,TRANS,31OCT2021:06:06:40
4313659836,3411,B,29OCT2021:07:19:30,29OCT2021:00:00:00,26370,-122.78714,45.525765,0,125629.93,7,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659837,3411,B,29OCT2021:07:19:35,29OCT2021:00:00:00,26375,-122.78713,45.525438,0,125748.04,16,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659838,3411,B,29OCT2021:07:19:40,29OCT2021:00:00:00,26380,-122.787133,45.524938,0,125928.48,25,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659839,3411,B,29OCT2021:07:19:45,29OCT2021:00:00:00,26385,-122.787128,45.524415,0,126118.77,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659840,3411,B,29OCT2021:07:19:50,29OCT2021:00:00:00,26390,-122.787128,45.523933,0,126292.65,24,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659841,3411,B,29OCT2021:07:19:55,29OCT2021:00:00:00,26395,-122.787135,45.523527,0,126437.01,20,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659842,3411,B,29OCT2021:07:20:00,29OCT2021:00:00:00,26400,-122.78701,45.523243,0,126545.28,15,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659843,3411,B,29OCT2021:07:20:05,29OCT2021:00:00:00,26405,-122.786493,45.523185,0,126676.51,18,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659844,3411,B,29OCT2021:07:20:10,29OCT2021:00:00:00,26410,-122.785773,45.52319,0,126860.24,25,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659845,3411,B,29OCT2021:07:20:15,29OCT2021:00:00:00,26415,-122.78499,45.523183,0,127057.09,27,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659846,3411,B,29OCT2021:07:20:20,29OCT2021:00:00:00,26420,-122.784223,45.523168,0,127253.94,27,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659847,3411,B,29OCT2021:07:20:25,29OCT2021:00:00:00,26425,-122.783482,45.523168,0,127440.95,26,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659848,3411,B,29OCT2021:07:20:30,29OCT2021:00:00:00,26430,-122.78276,45.523168,0,127624.68,25,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659849,3411,B,29OCT2021:07:20:35,29OCT2021:00:00:00,26435,-122.78205,45.52317,0,127805.12,25,11,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659850,3411,B,29OCT2021:07:20:40,29OCT2021:00:00:00,26440,-122.781343,45.523172,0,127985.57,25,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659851,3411,B,29OCT2021:07:20:45,29OCT2021:00:00:00,26445,-122.780618,45.52317,0,128169.3,25,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659852,3411,B,29OCT2021:07:20:50,29OCT2021:00:00:00,26450,-122.779882,45.523173,0,128356.3,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659853,3411,B,29OCT2021:07:20:55,29OCT2021:00:00:00,26455,-122.779163,45.523168,0,128536.75,25,12,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659854,3411,B,29OCT2021:07:21:00,29OCT2021:00:00:00,26460,-122.77846,45.523163,0,128717.2,25,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659855,3411,B,29OCT2021:07:21:05,29OCT2021:00:00:00,26465,-122.777767,45.52316,0,128894.36,24,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659856,3411,B,29OCT2021:07:21:10,29OCT2021:00:00:00,26470,-122.777068,45.523157,0,129071.53,24,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659857,3411,B,29OCT2021:07:21:15,29OCT2021:00:00:00,26475,-122.776365,45.523153,0,129248.69,24,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659858,3411,B,29OCT2021:07:21:20,29OCT2021:00:00:00,26480,-122.775652,45.523145,0,129429.14,25,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659859,3411,B,29OCT2021:07:21:25,29OCT2021:00:00:00,26485,-122.774942,45.523147,0,129609.58,25,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659860,3411,B,29OCT2021:07:21:30,29OCT2021:00:00:00,26490,-122.77421,45.523143,0,129796.59,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659861,3411,B,29OCT2021:07:21:35,29OCT2021:00:00:00,26495,-122.773537,45.523147,0,129967.2,23,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659862,3411,B,29OCT2021:07:21:40,29OCT2021:00:00:00,26500,-122.772957,45.523145,0,130114.83,20,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659863,3411,B,29OCT2021:07:21:45,29OCT2021:00:00:00,26505,-122.772525,45.523122,0,130223.1,15,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659864,3411,B,29OCT2021:07:21:50,29OCT2021:00:00:00,26510,-122.772187,45.522863,0,130354.33,18,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659865,3411,B,29OCT2021:07:21:55,29OCT2021:00:00:00,26515,-122.772187,45.522413,0,130515.1,22,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659866,3411,B,29OCT2021:07:22:00,29OCT2021:00:00:00,26520,-122.772208,45.521963,0,130675.86,22,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659867,3411,B,29OCT2021:07:22:05,29OCT2021:00:00:00,26525,-122.772232,45.52152,0,130836.62,22,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659868,3411,B,29OCT2021:07:22:10,29OCT2021:00:00:00,26530,-122.772223,45.521165,0,130964.57,17,12,0.9,1,Y,TRANS,31OCT2021:06:06:40
4313659869,3411,B,29OCT2021:07:22:15,29OCT2021:00:00:00,26535,-122.771932,45.520915,0,131085.96,17,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659870,3411,B,29OCT2021:07:22:20,29OCT2021:00:00:00,26540,-122.771342,45.520882,0,131233.6,20,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
